address,lat,long
"31 South Western Highway, PINJARRA , Western Australia",-32.6145387,115.8938472
"194 Great Eastern Highway, ASCOT , Western Australia",-31.9329157,115.9400686
"174 Balcatta Road, BALCATTA , Western Australia",-31.8598506,115.8097253
"102 Princess Road, BALGA , Western Australia",-31.8564856,115.8375112
"1/300 Joseph Banks Bvd, BANKSIA GROVE , Western Australia",-31.7031131,115.8032209
"302-318 Collier Road, BASSENDEAN , Western Australia",-31.9071577,115.9421304
"35 Port Kembla Drive, BIBRA LAKE , Western Australia",-32.1012766,115.8012065
"492 Marmion Street, BOORAGOON , Western Australia",-32.0364814,115.8379295
"270 Butler Bvd, BUTLER , Western Australia",-31.6373744,115.6989813
"25 Abernethy Road, BYFORD , Western Australia",-32.2192227,115.9750366
"215 Campbell Road, CANNING VALE , Western Australia",-32.0980751,115.9199446
"232 Orrong Road, CARLISLE , Western Australia",-31.971823649999997,115.91805541255084
"2131 West Swan Road, CAVERSHAM , Western Australia",-31.8733655,115.978168
"814 North Lake Road, COCKBURN CENTRAL , Western Australia",-32.1200534,115.8467146
"2 Haydock Street, FORRESTDALE , Western Australia",-32.1259167,115.9578071
"303 Corfield Street, GOSNELLS , Western Australia",-32.0808532,115.9886829
"13 Lakes Road, GREENFIELDS , Western Australia",-32.516753,115.7693875
"1 Eaglemont Street, GREENFIELDS , Western Australia",-32.5207908,115.7532026
"120 Yellowwood Ave, HARRISDALE , Western Australia",-32.1279025,115.9256457
"1256 Armadale Road, ARMADALE , Western Australia",-32.148061,115.9866245
"8 Buick Way, JOONDALUP , Western Australia",-31.7532914,115.7649758
"4 Church Street, KELMSCOTT , Western Australia",-32.1194558,116.0177932
"105 Champion Drive, KELMSCOTT , Western Australia",-32.1295024,116.000332
"8 Mullingar Way, LANDSDALE , Western Australia",-31.805382,115.8357837
"1969 Albany Highway, MADDINGTON , Western Australia",-32.0466998,115.9753996
"650 Marshall Road, MALAGA , Western Australia",-31.8572579,115.9078726
"324 The Broadway, ELLENBROOK , Western Australia",-31.7712001,115.9690148
"296 Pinjarra Road, MANDURAH , Western Australia",-32.5351937,115.7166428
"40-42 Great Northern Highway, MIDDLE SWAN , Western Australia",-31.8666033,116.0143495
"8 Clayton Street, MIDLAND , Western Australia",-31.8990741,116.01282699305325
"231 Morrison Road, MIDVALE , Western Australia",-31.8860881,116.028185
"162 Russell Street, MORLEY , Western Australia",-31.8965761,115.8947289
"235 Welshpool Road, QUEENS PARK , Western Australia",-31.9975838,115.9506951
"129 Dixon Road, EAST ROCKINGHAM , Western Australia",-32.2769592,115.7827979
"481 Balfour Street, SOUTHERN RIVER , Western Australia",-32.1064402,115.94166616064638
"660 Beeliar Drive, SUCCESS , Western Australia",-32.1277993,115.8593059
"125 Murdoch Road, THORNLIE , Western Australia",-32.0615519,115.9437112
"79 Gnangara Road, WANGARA , Western Australia",-31.8023005,115.8341286
"929-931 Wanneroo Road, WANNEROO , Western Australia",-31.6916696,115.7599059
"990 Wanneroo Road, WANNEROO , Western Australia",-31.6101151,115.7126511
"332 Hale Road, WATTLE GROVE , Western Australia",-31.9980281,115.990561
"86 South Coast Highway, ORANA , Western Australia",-35.0022374,117.8645789
"3 Armadale Road, JANDAKOT , Western Australia",-32.1235994,115.8584087
"Lot 602 Forrest Highway, WEST PINJARRA , Western Australia",,
"Lot 601 Forrest Highway, WEST PINJARRA , Western Australia",-32.6062722,115.8142031
"39 Bussell Highway, GELORUP , Western Australia",-33.4027143,115.6366084
"Lot 50 Mandurah Road, MEADOW SPRINGS , Western Australia",-32.4822941,115.7554751
"40 North West Coastal Highway, WONTHELLA , Western Australia",-28.7705916,114.6246049
"287 Place Road, WEBBERTON , Western Australia",-28.7593004,114.6248808
"3249 Albany Highway, ARMADALE , Western Australia",-32.1490124,116.0211531
"80 Old Coast Road, AUSTRALIND , Western Australia",-33.2925912,115.7093768
"59 Great Eastern Highway, BELLEVUE , Western Australia",-31.8929217,116.0197492
"69 Pinetree Gully Road, WILLETTON , Western Australia",-32.0609159,115.8772818
"1443 Albany Highway, CANNINGTON , Western Australia",-32.0113539,115.9263031
"121 Collins Road, WILLETTON , Western Australia",-32.055384,115.8966553
"226 Morrison Road, MIDVALE , Western Australia",-31.8860881,116.028185
"40 Benara Road, NORANDA , Western Australia",-31.8754474,115.9096224
"941 Whitfords Ave, WOODVALE , Western Australia",-31.7979744,115.7870498
"35 Albany Highway, ALBANY , Western Australia",-34.9638169,117.8193953
"848 Canning Highway, APPLECROSS , Western Australia",-32.01489425,115.84324826045719
"530 Canning Highway, ATTADALE , Western Australia",-32.0313245,115.8133476
"100-102 Blackwood Ave, AUGUSTA , Western Australia",-34.3088422,115.158152
"53 Erindale Road, BALCATTA , Western Australia",-31.8600744,115.8106497
"Lot 191 Paparone Road, BALDIVIS , Western Australia",-32.3138711,115.8283831
"Lot 192 Leary Road, BALDIVIS , Western Australia",,
"2/909 Mandurah Road, BALDIVIS , Western Australia",-32.3825703,115.7818473
"2 Illawarra Cres North, BALLAJURA , Western Australia",-31.8278673,115.8822011
"1084 Great Northern Highway, BASKERVILLE , Western Australia",-31.7953351,116.0214061
"701 Beeliar Drive, COCKBURN CENTRAL , Western Australia",-32.1285595,115.8538936
"261 Eddystone Ave, BELDON , Western Australia",-31.777062,115.7663968
"2 Wellard Street, BIBRA LAKE , Western Australia",-32.1038844,115.8038995
"2 Coghlan Street, DJUGUN , Western Australia",-17.9534707,122.2373333
"83 Wheatley Drive, BULL CREEK , Western Australia",-32.0568638,115.8662623
"26 Albert Street, BUSSELTON , Western Australia",-33.6517797,115.3465158
"13 Bannister Road, CANNING VALE , Western Australia",-32.0720281,115.8928106
"1134 North West Coastal Highway, BROWN RANGE , Western Australia",-24.8623956,113.71239813902505
"40 Bennett Street, CAVERSHAM , Western Australia",-31.8718017,115.96017850049913
"28K Caloundra Road, CLARKSON , Western Australia",-31.6924959,115.722252
"138 Loch Street, DERBY , Western Australia",-17.3092653,123.6465936
"210 Great Eastern Highway, ASCOT , Western Australia",-31.9329157,115.9400686
"2 Prendiville Ave, OCEAN REEF , Western Australia",-31.7528185,115.7388827
"44 Archer Street, CARLISLE , Western Australia",-31.9759103,115.9139223
"2 Sunlander Drive, CURRAMBINE , Western Australia",-31.7249481,115.747384
"68-70 Brown Street, EAST PERTH , Western Australia",-31.9509152,115.8745688
"190 Karrinyup Road, KARRINYUP , Western Australia",-31.8776806,115.7758987
"4 Chisham Ave, KWINANA TOWN CENTRE , Western Australia",-32.244183,115.8123954
"218 Main Street, OSBORNE PARK , Western Australia",-31.9060291,115.8282144
"2 Ridgewood Bvd, RIDGEWOOD , Western Australia",-31.6642939,115.7249473
"246 Leach Highway, MYAREE , Western Australia",-32.0460896,115.8172354
"349 Charles Street, NORTH PERTH , Western Australia",-31.9234194,115.8510357
"2 Warburton Ave, PADBURY , Western Australia",-31.811086,115.7655285
"214 Warnbro Sound Ave, WARNBRO , Western Australia",-32.358132,115.7620008
"222 Rockingham Road, SPEARWOOD , Western Australia",-32.1010754,115.7827567
"339 High Road, RIVERTON , Western Australia",-32.0386443,115.8962915
"2 Chalgrove Ave, ROCKINGHAM , Western Australia",-32.2844809,115.7466503
"9 Mends Street, SOUTH PERTH , Western Australia",-31.9726824,115.8523863
"810 Beeliar Drive, SUCCESS , Western Australia",-32.1277993,115.8593059
"261 Walter Road West, MORLEY , Western Australia",-31.8961967,115.8944065
"240 Cambridge Street, WEMBLEY , Western Australia",-31.9407457,115.8114475
"11 Scarborough Beach Road, SCARBOROUGH , Western Australia",-31.8939583,115.7738031
"1 Roy Earl Drive, COWARAMUP , Western Australia",-33.8558393,115.1028205
"7 Welshpool Road East, LESMURDIE , Western Australia",-32.0155012,116.0470014
"Lot 6 Great Eastern Highway, CUNDERDIN , Western Australia",-31.6430769,117.3345629
"44A South Coast Highway, DENMARK , Western Australia",-34.96741,117.435625
"19 Rodgers Street, DERBY , Western Australia",-17.3288677,123.6521926
"4 Wanneroo Road, YOKINE , Western Australia",-31.9023772,115.8429905
"15 South Western Highway, DONNYBROOK , Western Australia",-33.5795825,115.8404084
"238 Naturaliste Tce, DUNSBOROUGH , Western Australia",-33.6151791,115.1059873
"137 Dixon Road, EAST ROCKINGHAM , Western Australia",-32.2764283,115.7875836
"2 The Gateway, EDGEWATER , Western Australia",-31.763749,115.7738404
"484 Walter Road East, EMBLETON , Western Australia",-31.8950334,115.9234673
"2 Alex Wood Drive, FORRESTDALE , Western Australia",-32.141080650000006,115.96600609594029
"155 Hale Road, FORRESTFIELD , Western Australia",-31.9904816,115.9995538
"Lot 1662 Shenton Street, WEST END , Western Australia",,
"438 Hannan Street, KALGOORLIE , Western Australia",-30.752875,121.466493
"19 Coolibah Drive, GREENWOOD , Western Australia",-31.8338467,115.8027998
"2 Guava Way, HALLS HEAD , Western Australia",-32.5488967,115.7004211
"1520 Gnangara Road, HENLEY BROOK , Western Australia",-31.7956781,115.9938975
"68 Warton Road, HUNTINGDALE , Western Australia",-32.0735922,115.9633666
"2 Abello Bvd, JINDALEE , Western Australia",-31.636748,115.6898875
"110 Bashford Street, JURIEN BAY , Western Australia",-30.30362565,115.04053282537335
"248 Celebration Road, YILKARI , Western Australia",,
"Lot 35 Goldfields Highway, KAMBALDA EAST , Western Australia",-31.1967682,121.6505074
"88 Gilbertson Road, KARDINYA , Western Australia",-32.0647812,115.8194143
"1033 Mardie Road, KARRATHA INDUSTRIAL ESTATE , Western Australia",-20.7769247,116.8612558
"30 Balmoral Road, KARRATHA , Western Australia",-20.7357365,116.8424468
"Lot 9 Resource Road, GAP RIDGE , Western Australia",-20.7403093,116.7671317
"2907 Albany Highway, KELMSCOTT , Western Australia",-32.1033164,116.0122621
"48 Courtney Pl, WATTLE GROVE , Western Australia",-32.0074443,115.9833414
"549 Abernethy Road, KEWDALE , Western Australia",-31.9646949,115.9390044
"28 Koondoola Ave, KOONDOOLA , Western Australia",-31.8412849,115.8628189
"Cnr Stockman Road & Bull Run Road, KUNUNURRA , Western Australia",,
"230-234 Nicholson Road, LANGFORD , Western Australia",-32.0539872,115.9316338
"269 Kalamunda Road, MAIDA VALE , Western Australia",-31.9450842,116.0195402
"304 Pinjarra Road, MANDURAH , Western Australia",-32.5351937,115.7166428
"96 Giblett Street, MANJIMUP , Western Australia",-34.2417467,116.1461786
"73 Manning Road, MANNING , Western Australia",-32.012216,115.8764208
"360 Anchorage Drive North, MINDARIE , Western Australia",-31.677264,115.7094637
"153 Gardiner Street, MOORA , Western Australia",-30.6367173,116.0087593
"335 Walter Road West, MORLEY , Western Australia",-31.8961967,115.8944065
"25 Mitchell Road, MOUNT BARKER , Western Australia",-34.5990594,117.517146
"101 Dampier Av, MULLALOO , Western Australia",-31.7722736,115.7420028
"16 Tubada Street, MUNGLINUP , Western Australia",-33.7049514,120.8611479
"37 Federal Street, NARROGIN , Western Australia",-32.9410521,117.1785538
"1351 Rockingham Road, NAVAL BASE , Western Australia",-32.1939102,115.782755
"101 Great Northern Highway, NEWMAN , Western Australia",-23.3703587,119.7725215
"386 Scarborough Beach Road, INNALOO , Western Australia",-31.9006791,115.7934324
"Lot 2 Eyre Highway, NORSEMAN , Western Australia",-32.1770535,121.7905254
"85 Forrest Ave, SOUTH BUNBURY , Western Australia",-33.3363014,115.6404594
"84 Brockman Street, PEMBERTON , Western Australia",-34.4461606,116.0323328
"Lot 202 Wimbridge Road, PICTON , Western Australia",-33.3464223,115.6966007
"24 Wetherly Drive, PICTON , Western Australia",-33.3452063,115.7081901
"90 Anderson Street, PORT HEDLAND , Western Australia",-20.3130781,118.5767464
"46 Bakewell Drive, PORT KENNEDY , Western Australia",-32.3631297,115.7592823
"47 Morgans Street, RAVENSTHORPE , Western Australia",-33.5824254,120.032641
"419 Great Eastern Highway, REDCLIFFE , Western Australia",-31.9223051,115.9559966
"43 Hampton Street, BRIDGETOWN , Western Australia",-33.9667861,116.1344196
"30373 Brand Highway, DONGARA , Western Australia",-29.2525459,114.9603806
